"","X","Y","Above.Ground","Color"
"1",-73.9561344937861,40.7940823884086,"0","111111"
"2",-73.9688574691102,40.7837825208444,"0","111111"
"3",-73.9742811484852,40.775533619083,"10","999999"
"4",-73.9596413903948,40.7903128889029,"0","999999"
"5",-73.9702676472613,40.7762126854894,"0","999999"
"6",-73.9683613516225,40.7725908847499,"0","247450"
"7",-73.9541201789795,40.7931811701082,"0","999999"
"8",-73.9582694312289,40.7917367820255,"0","999999"
"9",-73.9674285955293,40.7829723919744,"0","999999"
"10",-73.9722500196844,40.7742879599026,"30","999999"
"11",-73.9695063535333,40.7823507678183,"0","999999"
"12",-73.9640032826529,40.7820309825448,"0","999999"
"13",-73.9532170504865,40.7919669739962,"0","999999"
"14",-73.9768603630674,40.7702795904962,"0","247450"
"15",-73.9706105896967,40.7698124821507,"10","999999"
"16",-73.9703781726172,40.7787526130321,"6","999999"
"17",-73.9703925210471,40.7765032004992,"0","999999"
"18",-73.9638179439747,40.7924173263904,"0","999999"
"19",-73.9584070974734,40.7913812490557,"0","999999"
"20",-73.9671130680114,40.7784859700171,"24","999999"
"21",-73.9649866016038,40.7764929694457,"0","247450"
"22",-73.9670628558161,40.7734991420941,"0","247450"
"23",-73.958736593111,40.7908524370626,"0","999999"
"24",-73.9671786715256,40.7867352791232,"0","999999"
"25",-73.9692943291611,40.7769536102488,"0","999999"
"26",-73.9540054100539,40.7952445999836,"0","999999"
"27",-73.9576530157255,40.7868659490397,"0","999999"
"28",-73.9738033257473,40.7711846894166,"0","999999"
"29",-73.9704402681017,40.7798965621203,"0","999999"
"30",-73.9756976076707,40.7753897331918,"0","999999"
"31",-73.9662438996681,40.7890381809441,"0","247450"
"32",-73.9643153920428,40.7820818516957,"0","999999"
"33",-73.9742073452913,40.7757957380463,"0","999999"
"34",-73.9716147061553,40.7813911036179,"30","999999"
"35",-73.9565700386162,40.7902561000937,"0","999999"
"36",-73.9535410657077,40.7928711760061,"0","999999"
"37",-73.9639159298446,40.7891774637988,"0","999999"
"38",-73.9579564338627,40.7959337795027,"0","000000"
"39",-73.9574648097543,40.7892508428622,"8","999999"
"40",-73.970252675331,40.7705999588222,"6","999999"
"41",-73.9579645940414,40.7918613498407,"25","999999"
"42",-73.9673253417305,40.7749505252981,"5","999999"
"43",-73.9595933195409,40.7905847332369,"50","999999"
"44",-73.9602222116708,40.793779699421,"4","999999"
"45",-73.9602609920814,40.7942883045566,"0","999999"
"46",-73.9680635070949,40.779249873647,"10","000000"
"47",-73.9801666435401,40.7686905339212,"0","999999"
"48",-73.9675634326877,40.7813477352507,"0","999999"
"49",-73.9584970643213,40.7982886348696,"0","999999"
"50",-73.9760298241178,40.7681954366911,"0","999999"
"51",-73.9568802149818,40.7972399133816,"0","999999"
"52",-73.9724642436394,40.7690526441109,"0","999999"
"53",-73.9690175838534,40.7760432720017,"0","999999"
"54",-73.9704082821356,40.7690280985956,"0","999999"
"55",-73.9684910712272,40.7768811640021,"0","999999"
"56",-73.9768674812942,40.7735232648872,"0","999999"
"57",-73.9797084866613,40.7698885241349,"0","999999"
"58",-73.952819267977,40.7923130402793,"0","999999"
"59",-73.9745630038492,40.7692602628745,"0","247450"
"60",-73.9595002339508,40.7903365788694,"0","999999"
"61",-73.9741824992294,40.7689486657963,"0","999999"
"62",-73.9749243901189,40.7761393551781,"0","999999"
"63",-73.968381325559,40.7780143443779,"0","247450"
"64",-73.9694240327509,40.7755898126674,"0","247450"
"65",-73.9689000978955,40.7828364735236,"0","999999"
"66",-73.9804528867547,40.7696753655986,"0","999999"
"67",-73.9576245992455,40.7873862510001,"50","999999"
"68",-73.9666007935638,40.7845098131567,"8","999999"
"69",-73.96148483609,40.7922645521905,"0","999999"
"70",-73.9546654184146,40.7947639241491,"0","999999"
"71",-73.9667114027214,40.7768804702473,"0","999999"
"72",-73.9530035564643,40.7921822457613,"0","999999"
"73",-73.9615696577673,40.7951278622399,"0","999999"
"74",-73.964474836001,40.7883840104749,"0","999999"
"75",-73.9610705592868,40.7914829661051,"0","247450"
"76",-73.9688454483585,40.7845301288163,"3","999999"
"77",-73.9578237168359,40.7980959471034,"0","999999"
"78",-73.9688271202401,40.7809719445309,"0","999999"
"79",-73.9617088749928,40.7944585082367,"0","247450"
"80",-73.9701824825872,40.7766530579293,"0","999999"
"81",-73.9676410497481,40.7766043512974,"4","999999"
"82",-73.9708726050721,40.7723572030236,"70","999999"
"83",-73.9541453465817,40.7982162223764,"0","247450"
"84",-73.9683608295976,40.7842927405327,"0","247450"
"85",-73.968052057989,40.777338666528,"0","999999"
"86",-73.9787180870736,40.7715877863274,"0","999999"
"87",-73.9565905868276,40.7895654068546,"0","999999"
"88",-73.9565759733611,40.7992461674802,"0","111111"
"89",-73.9551539498306,40.7987384656256,"0","999999"
"90",-73.9641971813967,40.7813537959435,"0","999999"
"91",-73.9692883970928,40.7768553703082,"0","999999"
"92",-73.9708549670788,40.7699587019058,"12","999999"
"93",-73.9639744005647,40.7825111950764,"0","999999"
"94",-73.9730277911422,40.7712145488828,"2","999999"
"95",-73.9710541405708,40.7724691605718,"10","000000"
"96",-73.9761592532482,40.7747213585387,"10","999999"
"97",-73.9544007658685,40.7950689723135,"0","999999"
"98",-73.9575986161364,40.799368134968,"25","999999"
"99",-73.9607701370443,40.7955418990855,"0","999999"
"100",-73.9764036522984,40.7705846185121,"0","999999"
"101",-73.9589249555235,40.7908193284981,"2","999999"
"102",-73.9634623418761,40.7917685404482,"0","999999"
"103",-73.9521110154872,40.7978449143313,"0","999999"
"104",-73.9574809028248,40.7950013620207,"0","999999"
"105",-73.9570437717691,40.7948509408039,"0","999999"
"106",-73.967097592707,40.7854119342538,"50","999999"
"107",-73.9711318790279,40.7701941550273,"3","999999"
"108",-73.9763243383771,40.7705409315703,"20","999999"
"109",-73.9651754464439,40.7755181941559,"7","999999"
"110",-73.9700100617602,40.7815739959357,"20","999999"
"111",-73.971905618214,40.776238547063,"0","999999"
"112",-73.9530040923555,40.7922896176936,"0","999999"
"113",-73.9572093760529,40.7988487300216,"6","999999"
"114",-73.9607746337979,40.7939581069382,"0","999999"
"115",-73.9566346046453,40.7973923396512,"0","999999"
"116",-73.9592038887673,40.796382675378,"0","999999"
"117",-73.9511118711108,40.7950813345902,"0","247450"
"118",-73.9769939796382,40.7729537573035,"0","999999"
"119",-73.9712527809516,40.7763310392591,"0","999999"
"120",-73.9671147090087,40.7772624641112,"0","999999"
"121",-73.9588660250232,40.7982597947515,"0","999999"
"122",-73.9651601541795,40.7761841788025,"0","247450"
"123",-73.9792155473689,40.7693711799946,"5","999999"
"124",-73.9664100504436,40.7828778892276,"0","999999"
"125",-73.9746229094643,40.7748467061969,"0","999999"
"126",-73.9705092958892,40.7761092972965,"0","999999"
"127",-73.9581655949437,40.7997708190022,"0","000000"
"128",-73.9755560786227,40.7662992317575,"0","999999"
"129",-73.9696433533986,40.7828208083804,"0","999999"
"130",-73.9664711607022,40.787896428768,"0","999999"
"131",-73.9575943815564,40.7933755266787,"0","999999"
"132",-73.9694168118643,40.7728877377977,"5","999999"
"133",-73.9528682507794,40.7925807808307,"0","999999"
"134",-73.9782417115139,40.7724665036447,"10","999999"
"135",-73.9721442939797,40.7700750802317,"0","999999"
"136",-73.969847380865,40.7769884612305,"25","999999"
"137",-73.9768652785664,40.7684838168207,"0","247450"
"138",-73.9590992841423,40.793758098573,"0","999999"
"139",-73.9724063986771,40.7705711897977,"0","999999"
"140",-73.9661361310677,40.7787872561177,"0","999999"
"141",-73.9730750601212,40.7701304211944,"10","999999"
"142",-73.971970670614,40.7720868124544,"0","999999"
"143",-73.95621174551,40.7951044378207,"0","999999"
"144",-73.9564023626619,40.7905423546155,"13","999999"
"145",-73.9532620128307,40.7952475548048,"0","999999"
"146",-73.9576349321357,40.7904409912437,"0","999999"
"147",-73.9763430829342,40.7686351097159,"3","247450"
"148",-73.9714789136757,40.7694886645194,"0","247450"
"149",-73.9755133710665,40.7697883435981,"0","999999"
"150",-73.9702348982803,40.7773295419104,"0","999999"
"151",-73.9686056085297,40.7781658424866,"0","999999"
"152",-73.9522142360388,40.7949598486683,"0","999999"
"153",-73.9576589997493,40.7972751877447,"50","999999"
"154",-73.9637946878735,40.7915700446878,"0","999999"
"155",-73.9710991123992,40.7723889726647,"0","999999"
"156",-73.9638270331336,40.7810450065235,"0","999999"
"157",-73.9756015005821,40.7670090327736,"0","999999"
"158",-73.9649632550828,40.7809187761995,"0","999999"
"159",-73.957219204335,40.7931529059779,"0","999999"
"160",-73.9712308864394,40.7714534847379,"15","999999"
"161",-73.9758676144255,40.7701671581939,"0","999999"
"162",-73.969058856545,40.7766356226979,"0","247450"
"163",-73.963846339804,40.7834051716226,"30","247450"
"164",-73.9597642778427,40.7976368003915,"0","999999"
"165",-73.9745691353018,40.7771035589298,"6","999999"
"166",-73.9748706415584,40.7744174965072,"0","999999"
"167",-73.9597205966324,40.7969409510133,"0","999999"
"168",-73.971086588091,40.7719703235178,"0","999999"
"169",-73.958535640774,40.7982737896998,"0","999999"
"170",-73.958770180151,40.7934123941528,"0","999999"
"171",-73.9707274055755,40.7723889080377,"0","999999"
"172",-73.9720065066618,40.7764043782924,"0","999999"
"173",-73.9618064639153,40.792158440043,"0","999999"
"174",-73.9554432393295,40.7945669054449,"0","999999"
"175",-73.9613780522542,40.790786197111,"30","999999"
"176",-73.9646901432328,40.775995869679,"0","999999"
"177",-73.9690828325179,40.7818038172275,"0","999999"
"178",-73.9708775864433,40.772473633538,"0","000000"
"179",-73.9691050656013,40.7808139538222,"0","000000"
"180",-73.9768434635084,40.7728494038744,"0","999999"
"181",-73.9553811810434,40.7970895007931,"0","999999"
"182",-73.9588468413094,40.7963852299012,"28","999999"
"183",-73.9788138172962,40.7693001754769,"0","999999"
"184",-73.9700162034073,40.7815277479588,"0","999999"
"185",-73.9570528770427,40.7990973804149,"10","247450"
"186",-73.9735489537928,40.7681257911523,"12","999999"
"187",-73.9695507965155,40.7743070423435,"0","999999"
"188",-73.9787105069657,40.7693708133873,"10","999999"
"189",-73.9651654887991,40.7777806006951,"0","999999"
