"","X","Y","Above.Ground","Color","Hectar.Number","Date"
"1",-73.9561344937861,40.7940823884086,"0","111111",3,10142018
"2",-73.9688574691102,40.7837825208444,"0","111111",4,10192018
"3",-73.9742811484852,40.775533619083,"10","999999",8,10142018
"4",-73.9596413903948,40.7903128889029,"0","999999",14,10172018
"5",-73.9702676472613,40.7762126854894,"0","999999",5,10172018
"6",-73.9683613516225,40.7725908847499,"0","247450",3,10102018
"7",-73.9541201789795,40.7931811701082,"0","999999",2,10102018
"8",-73.9582694312289,40.7917367820255,"0","999999",2,10082018
"9",-73.9674285955293,40.7829723919744,"0","999999",1,10062018
"10",-73.9722500196844,40.7742879599026,"30","999999",3,10102018
"11",-73.9695063535333,40.7823507678183,"0","999999",5,10132018
"12",-73.9640032826529,40.7820309825448,"0","999999",6,10142018
"13",-73.9532170504865,40.7919669739962,"0","999999",1,10072018
"14",-73.9768603630674,40.7702795904962,"0","247450",9,10102018
"15",-73.9706105896967,40.7698124821507,"10","999999",5,10062018
"16",-73.9703781726172,40.7787526130321,"6","999999",3,10182018
"17",-73.9703925210471,40.7765032004992,"0","999999",23,10082018
"18",-73.9638179439747,40.7924173263904,"0","999999",3,10132018
"19",-73.9584070974734,40.7913812490557,"0","999999",1,10082018
"20",-73.9671130680114,40.7784859700171,"24","999999",7,10072018
"21",-73.9649866016038,40.7764929694457,"0","247450",1,10082018
"22",-73.9670628558161,40.7734991420941,"0","247450",1,10132018
"23",-73.958736593111,40.7908524370626,"0","999999",7,10082018
"24",-73.9671786715256,40.7867352791232,"0","999999",4,10132018
"25",-73.9692943291611,40.7769536102488,"0","999999",1,10132018
"26",-73.9540054100539,40.7952445999836,"0","999999",6,10132018
"27",-73.9576530157255,40.7868659490397,"0","999999",1,10072018
"28",-73.9738033257473,40.7711846894166,"0","999999",2,10062018
"29",-73.9704402681017,40.7798965621203,"0","999999",5,10132018
"30",-73.9756976076707,40.7753897331918,"0","999999",1,10142018
"31",-73.9662438996681,40.7890381809441,"0","247450",5,10072018
"32",-73.9643153920428,40.7820818516957,"0","999999",5,10142018
"33",-73.9742073452913,40.7757957380463,"0","999999",1,10072018
"34",-73.9716147061553,40.7813911036179,"30","999999",1,10182018
"35",-73.9565700386162,40.7902561000937,"0","999999",2,10192018
"36",-73.9535410657077,40.7928711760061,"0","999999",2,10082018
"37",-73.9639159298446,40.7891774637988,"0","999999",6,10072018
"38",-73.9579564338627,40.7959337795027,"0","000000",9,10142018
"39",-73.9574648097543,40.7892508428622,"8","999999",2,10082018
"40",-73.970252675331,40.7705999588222,"6","999999",6,10172018
"41",-73.9579645940414,40.7918613498407,"25","999999",1,10072018
"42",-73.9673253417305,40.7749505252981,"5","999999",2,10102018
"43",-73.9595933195409,40.7905847332369,"50","999999",13,10072018
"44",-73.9602222116708,40.793779699421,"4","999999",5,10072018
"45",-73.9602609920814,40.7942883045566,"0","999999",3,10132018
"46",-73.9680635070949,40.779249873647,"10","000000",5,10172018
"47",-73.9801666435401,40.7686905339212,"0","999999",1,10132018
"48",-73.9675634326877,40.7813477352507,"0","999999",1,10072018
"49",-73.9584970643213,40.7982886348696,"0","999999",3,10192018
"50",-73.9760298241178,40.7681954366911,"0","999999",7,10082018
"51",-73.9568802149818,40.7972399133816,"0","999999",1,10062018
"52",-73.9724642436394,40.7690526441109,"0","999999",2,10082018
"53",-73.9690175838534,40.7760432720017,"0","999999",5,10072018
"54",-73.9704082821356,40.7690280985956,"0","999999",6,10132018
"55",-73.9684910712272,40.7768811640021,"0","999999",5,10102018
"56",-73.9768674812942,40.7735232648872,"0","999999",2,10122018
"57",-73.9797084866613,40.7698885241349,"0","999999",6,10172018
"58",-73.952819267977,40.7923130402793,"0","999999",2,10172018
"59",-73.9745630038492,40.7692602628745,"0","247450",6,10082018
"60",-73.9595002339508,40.7903365788694,"0","999999",13,10172018
"61",-73.9741824992294,40.7689486657963,"0","999999",3,10072018
"62",-73.9749243901189,40.7761393551781,"0","999999",5,10142018
"63",-73.968381325559,40.7780143443779,"0","247450",6,10182018
"64",-73.9694240327509,40.7755898126674,"0","247450",2,10072018
"65",-73.9689000978955,40.7828364735236,"0","999999",10,10132018
"66",-73.9804528867547,40.7696753655986,"0","999999",5,10172018
"67",-73.9576245992455,40.7873862510001,"50","999999",1,10062018
"68",-73.9666007935638,40.7845098131567,"8","999999",3,10142018
