"","Date","Chase","Run","Climb","Eat","Forage"
"1",10062018,1,12,10,13,14
"2",10072018,1,11,15,17,31
"3",10082018,3,9,5,11,19
"4",10102018,10,14,10,17,31
"5",10122018,7,14,7,14,23
"6",10132018,2,20,16,21,41
"7",10142018,3,6,7,4,13
"8",10172018,3,2,3,7,11
"9",10182018,1,13,8,3,13
"10",10192018,1,1,1,3,4
"11",10202018,1,2,1,1,3
