X,Y,height,Color,Details
-73.9579564338627,40.7959337795027,0,Black,
-73.9680635070949,40.779249873647,10,Black,Branch
-73.9710541405708,40.7724691605718,10,Black,"Behind fence, tree"
-73.9581655949437,40.7997708190022,0,Black,
-73.9708775864433,40.772473633538,0,Black,
-73.9691050656013,40.7808139538222,0,Black,
-73.9711298491132,40.7676902603543,15,Black,in tree by arsenal - climbing
-73.9598155300913,40.7905887826983,0,Black,
-73.9630990823243,40.7885764284016,0,Black,
-73.9596398997228,40.7933386953847,25,Black,
-73.959709414696,40.7919745085986,15,Black,
-73.9592537496995,40.7919271821316,5,Black,
-73.9790875480358,40.7676104780657,30,Black,
-73.9710116801402,40.7723689301989,10,Black,
-73.9570130017159,40.7996027428625,0,Black,
-73.9714303315699,40.7745934947706,0,Black,
-73.9602166876979,40.7953811003986,20,Black,Moved 20+ feet high above top of tree limb
-73.9713487591577,40.7784353043714,17,Black,running across overpass
-73.9547423290276,40.7899702628835,0,Black,
-73.9593352806175,40.7918150568046,10,Black,
-73.9589675995517,40.7913119223584,15,Black,
-73.9596375907038,40.7907347708353,30,Black,
-73.9704575848926,40.7693499326095,0,Black,by tree
-73.9695964983454,40.7802302192799,0,Black,
-73.9718262034469,40.7666771797442,0,Black,
-73.9733545802515,40.7675056025357,0,Black,
-73.9591407691,40.7960846903122,0,Black,
-73.9579941847434,40.7991216713328,28,Black,
-73.9597782762029,40.7920773376757,0,Black,
-73.959077668148,40.7926045823346,0,Black,
-73.9557172336815,40.7921125657722,0,Black,
-73.9577113026056,40.790433245345596,0,Black,
-73.9629383420274,40.7889383725489,10,Black,
-73.9551524422379,40.7910535596756,0,Black,
-73.9710951149579,40.772501245008,0,Black,"Behind fence, grass"
-73.9594406225891,40.7918533707789,0,Black,
-73.9720174997123,40.7748894266027,0,Black,
-73.9713399316534,40.7750678026757,3,Black,
-73.95912925497,40.792553028045504,0,Black,
-73.960237785199,40.7907831607574,0,Black,rocky outcrop
-73.9731880656287,40.7660026186155,0,Black,
-73.9707937464541,40.7725282708448,0,Black,
-73.9591298551111,40.7919612446005,0,Black,
-73.9589254878322,40.7914467650712,0,Black,
-73.9719109949232,40.7723138521327,0,Black,
-73.9701010964667,40.7688919314508,0,Black,Bushes
-73.9705509170542,40.7689416540228,0,Black,Grass
-73.9565197137317,40.7986011403785,0,Black,
-73.9581326554206,40.7918074743129,0,Black,
-73.9648090698176,40.7903882097837,0,Black,
-73.9584064190878,40.7912992852442,0,Black,
-73.9545807749923,40.7900507537649,0,Black,
-73.9625383795297,40.7883862331728,30,Black,
-73.9690104245067,40.7853358193723,0,Black,
-73.9736995552241,40.7722712518637,10,Black,in tree
-73.962516494651,40.7884768989902,0,Black,
-73.9626560807032,40.7884633049896,30,Black,
-73.9586184232889,40.7993153832942,15,Black,
-73.9745908987975,40.7655191512308,0,Black,
-73.9707737073771,40.7800373465838,0,Black,
-73.9612759291399,40.7930468323219,0,Black,
-73.9719879697272,40.7725625124591,10,Black,
-73.9582904814652,40.7905915749564,0,Black,
-73.9733905460282,40.7656337147768,0,Black,
-73.9596251284566,40.7916254797561,5,Black,
-73.9557710118271,40.7919161185557,0,Black,
-73.9696688162449,40.7741422177187,0,Black,
-73.9711178122133,40.7672642958437,0,Black,
-73.9593410965431,40.7923134010383,0,Black,
-73.9594446018346,40.7917800352042,10,Black,
-73.9716402454355,40.7665133780672,2,Black,
-73.9703732649257,40.7701979377103,0,Black,
-73.9723677854798,40.7667315410871,50,Black,
-73.9728360875598,40.7660637295671,0,Black,
-73.9717515173863,40.7747999274418,0,Black,
-73.9745818450109,40.7654498873627,0,Black,
-73.9729603550254,40.7660215710657,0,Black,
-73.959701727877,40.790660026971,0,Black,
-73.9729297485331,40.7673278541438,0,Black,
-73.9706949930717,40.772362045852,3,Black,
-73.9599911537509,40.7914452542845,5,Black,
-73.975592325642907,40.7672967972471,0,Black,
-73.9600963639087,40.7934962325313,0,Black,
-73.9696274291417,40.7691980808067,0,Black,Trash bins
-73.9700101107283,40.7696729501144,4,Black,
-73.959127912788,40.7921197130403,0,Black,
-73.972248505758,40.7659043693008,0,Black,
-73.9712454251679,40.7674262749891,0,Black,crossing pavement in front of arsenal
-73.9719901848577,40.7720525965356,0,Black,
-73.9598973337711,40.7933346360478,0,Black,
-73.9632993246327,40.7888199519656,0,Black,
-73.9595886063173,40.7918405182594,7,Black,
-73.9712022111028,40.7672504368263,3,Black,On top of park lamp
-73.9641088172632,40.7886555184212,0,Black,
-73.9625932664956,40.7885379477349,0,Black,
-73.9596445861554,40.7971948679007,0,Black,
-73.9744080700098,40.7731515721826,0,Black,on top of tarped sand pile
-73.9564478909357,40.7976928775417,0,Black,
-73.9575791421589,40.7959934459432,0,Black,
-73.959412243507,40.7917871123534,0,Black,
-73.9721159387757,40.7660503188637,0,Black,
-73.972415182837,40.773080463452,0,Black,
