"","data.Date","data.Primary.Fur.Color","data.Running","data.Chasing","data.Climbing","data.Eating","data.Foraging"
"139",10122018,"Gray","true","false","false","false","false"
"140",10132018,"Gray","false","false","false","true","true"
"141",10082018,"Gray","false","true","false","false","false"
"142",10132018,"Gray","false","false","false","false","true"
"143",10102018,"Gray","false","false","false","false","true"
"144",10132018,"Gray","false","false","true","false","false"
"145",10182018,"Gray","false","false","false","false","false"
"146",10132018,"Gray","false","false","false","false","true"
"147",10082018,"Cinnamon","false","true","false","false","false"
"148",10082018,"Cinnamon","false","false","false","true","false"
"149",10082018,"Gray","true","false","false","false","false"
"150",10172018,"Gray","false","false","false","false","true"
"151",10142018,"Gray","false","false","false","true","true"
"152",10132018,"Gray","false","false","false","false","true"
"153",10062018,"Gray","false","false","true","false","false"
"154",10102018,"Gray","false","false","false","false","true"
"155",10142018,"Gray","false","false","false","true","false"
"156",10072018,"Gray","false","false","false","true","false"
"157",10062018,"Gray","false","false","false","false","true"
"158",10072018,"Gray","false","false","false","true","true"
"159",10062018,"Gray","false","false","false","false","true"
"160",10072018,"Gray","false","false","false","false","false"
"161",10182018,"Gray","false","false","false","false","true"
"162",10122018,"Cinnamon","false","false","false","true","true"
"163",10182018,"Cinnamon","false","false","true","false","false"
"164",10142018,"Gray","false","true","false","false","false"
"165",10142018,"Gray","false","false","true","false","false"
"166",10062018,"Gray","false","false","true","false","false"
"167",10192018,"Gray","true","false","false","false","false"
"168",10072018,"Gray","false","false","false","true","false"
"169",10192018,"Gray","true","true","false","false","false"
"170",10132018,"Gray","false","false","false","false","false"
"171",10172018,"Gray","false","true","false","false","false"
"172",10102018,"Gray","false","false","false","false","true"
"173",10132018,"Gray","true","false","false","false","true"
"174",10142018,"Gray","false","false","false","false","true"
"175",10062018,"Gray","false","false","false","true","false"
"176",10122018,"Gray","false","false","false","false","true"
"177",10182018,"Gray","false","false","false","false","true"
"178",10192018,"Black","true","false","false","false","true"
"179",10182018,"Black","false","false","false","false","true"
"180",10082018,"Gray","false","false","false","false","true"
"181",10142018,"Gray","true","false","false","false","true"
"182",10192018,"Gray","false","false","true","false","false"
"183",10102018,"Gray","false","false","false","false","true"
"184",10192018,"Gray","true","false","false","true","false"
"185",10102018,"Cinnamon","false","false","false","false","false"
"186",10062018,"Gray","false","false","false","false","false"
"187",10072018,"Gray","false","false","false","false","true"
"188",10102018,"Gray","false","false","true","false","false"
"189",10072018,"Gray","false","false","false","false","true"
"190",10202018,"Gray","true","false","false","false","false"
"191",10082018,"Cinnamon","false","false","false","false","true"
"192",10132018,"Gray","false","false","false","false","true"
"193",10082018,"Gray","false","false","false","false","false"
"194",10132018,"Gray","false","false","true","false","false"
"196",10062018,"Cinnamon","true","false","true","true","false"
"197",10192018,"Gray","false","false","false","false","true"
"198",10132018,"Gray","false","false","true","false","false"
"199",10182018,"Gray","false","false","false","false","true"
"200",10102018,"Gray","false","false","false","true","true"
"201",10132018,"Cinnamon","false","false","false","true","true"
"202",10122018,"Gray","false","false","false","false","true"
"203",10062018,"Gray","false","false","true","false","false"
"204",10102018,"Gray","false","false","false","false","true"
"205",10192018,"Gray","true","false","false","false","false"
"206",10082018,"Black","false","false","true","true","false"
"207",10102018,"Gray","false","false","false","false","true"
"208",10142018,"Gray","false","true","true","false","false"
"209",10142018,"Gray","false","false","false","true","false"
"210",10062018,"Cinnamon","false","false","false","true","true"
"211",10072018,"Gray","false","false","false","false","true"
"212",10202018,"Gray","false","false","false","false","true"
"213",10182018,"Cinnamon","false","false","false","false","true"
"214",10192018,"Gray","false","false","false","true","false"
"215",10082018,"Gray","false","false","false","false","true"
"216",10202018,"Gray","false","false","true","true","false"
"217",10122018,"Gray","false","false","false","false","true"
"219",10062018,"Gray","false","false","false","true","false"
"220",10142018,"Cinnamon","true","false","false","false","false"
"221",10062018,"Gray","true","false","false","false","false"
"222",10072018,"Gray","false","false","true","false","false"
"223",10072018,"Black","false","false","false","false","true"
"224",10132018,"Gray","false","false","false","false","true"
"225",10122018,"Gray","false","false","false","false","false"
"226",10062018,"Gray","false","true","true","false","false"
"227",10172018,"Gray","false","false","false","true","true"
"228",10172018,"Gray","false","false","false","false","true"
"229",10062018,"Cinnamon","false","false","false","false","true"
"230",10072018,"Gray","false","true","false","false","false"
"231",10082018,"Gray","false","false","true","false","false"
"232",10142018,"Gray","false","false","true","false","false"
"233",10102018,"Gray","true","false","false","false","false"
"234",10132018,"Gray","false","false","false","false","true"
"235",10132018,"Gray","false","false","false","false","true"
"236",10172018,"Gray","true","true","false","false","true"
"237",10202018,"Gray","false","false","true","false","true"
"239",10102018,"Gray","false","false","false","false","true"
"240",10202018,"Gray","false","false","true","false","false"
"241",10072018,"Gray","false","false","false","true","false"
"242",10172018,"Gray","false","false","false","true","true"
"243",10122018,"Gray","false","false","false","true","true"
"244",10082018,"Cinnamon","false","false","false","false","true"
"245",10142018,"Gray","false","false","false","false","true"
"246",10082018,"Cinnamon","false","false","false","false","true"
"247",10082018,"Gray","true","false","false","false","false"
"248",10082018,"Gray","false","false","false","false","true"
"249",10172018,"Gray","false","false","false","false","false"
"250",10132018,"Gray","false","false","false","true","true"
"251",10202018,"Gray","true","true","false","false","false"
"252",10102018,"Gray","false","false","false","false","true"
"253",10062018,"Cinnamon","false","false","false","true","false"
"254",10122018,"Cinnamon","false","true","true","false","false"
"255",10102018,"Cinnamon","true","false","true","false","false"
"256",10062018,"Cinnamon","true","false","true","false","false"
"257",10182018,"Gray","false","false","false","true","false"
"258",10082018,"Gray","false","false","true","false","false"
"259",10062018,"Gray","false","false","true","false","false"
"260",10132018,"Cinnamon","false","false","true","false","true"
"261",10062018,"Gray","true","false","true","true","true"
"262",10142018,"Cinnamon","false","false","false","false","true"
"263",10202018,"Gray","true","false","false","false","false"
"264",10082018,"Gray","false","false","false","true","false"
"265",10182018,"Gray","false","false","false","true","false"
"266",10122018,"Cinnamon","false","false","false","true","true"
"267",10072018,"Cinnamon","false","false","true","false","true"
"268",10072018,"Gray","false","false","false","false","false"
"269",10122018,"Gray","false","false","false","false","true"
"270",10132018,"Gray","false","false","true","false","false"
"271",10132018,"Gray","false","false","false","true","false"
"272",10192018,"Gray","false","false","false","false","true"
"273",10192018,"Gray","false","false","true","true","true"
"274",10132018,"Gray","false","false","false","true","true"
