X,Y,height,Color,Details
-73.9768603630674,40.7702795904962,0,Cinnamon,
-73.9649866016038,40.7764929694457,0,Cinnamon,
-73.9670628558161,40.7734991420941,0,Cinnamon,on tree roots
-73.9662438996681,40.7890381809441,0,Cinnamon,
-73.9745630038492,40.769260262874496,0,Cinnamon,
-73.968381325559,40.7780143443779,0,Cinnamon,On a rock
-73.9610705592868,40.7914829661051,0,Cinnamon,
-73.9617088749928,40.7944585082367,0,Cinnamon,
-73.9541453465817,40.798216222376404,0,Cinnamon,
-73.9683608295976,40.7842927405327,0,Cinnamon,Under bench
-73.9511118711108,40.7950813345902,0,Cinnamon,
-73.9651601541795,40.7761841788025,0,Cinnamon,
-73.9768652785664,40.7684838168207,0,Cinnamon,
-73.9763430829342,40.7686351097159,3,Cinnamon,on tree facing downward
-73.9714789136757,40.7694886645194,0,Cinnamon,
-73.969058856545,40.7766356226979,0,Cinnamon,
-73.963846339804,40.7834051716226,30,Cinnamon,
-73.9570528770427,40.7990973804149,10,Cinnamon,
-73.9764839973068,40.7691725326976,0,Cinnamon,
-73.9771614686616,40.7709677983247,10,Cinnamon,
-73.9679538163341,40.7837103696906,0,Cinnamon,
-73.9772576561244,40.7679895093963,0,Cinnamon,
-73.9712327308512,40.7748702909218,0,Cinnamon,
-73.9520592496349,40.7975076299811,4,Cinnamon,on fence
-73.9568343093228,40.7949401350882,0,Cinnamon,
-73.9733117663541,40.7694584620114,0,Cinnamon,
-73.9786339295735,40.7684918638639,0,Cinnamon,
-73.9762246600197,40.775164077652,0,Cinnamon,Bridle Path lawn
-73.9800669115792,40.7676825134384,2,Cinnamon,on tree trunk
-73.976798124308,40.7741316574113,20,Cinnamon,
-73.9773317054464,40.7684035996758,0,Cinnamon,on top [of] a big rock/boulder in the area
-73.9552861155228,40.788973931872,3,Cinnamon,In and below shrub
-73.9771069181511,40.7670538214988,0,Cinnamon,
-73.9754742295091,40.7696998327247,0,Cinnamon,
-73.968107276769,40.7768612676036,20,Cinnamon,
-73.9560679864426,40.7947887062326,0,Cinnamon,
-73.957342596188,40.7944359654227,0,Cinnamon,
-73.9762348224648,40.7694522315322,0,Cinnamon,
-73.9750283794865,40.7724101927821,0,Cinnamon,
-73.9659034359706,40.7797516688844,8,Cinnamon,
-73.9684376038582,40.7824275067237,0,Cinnamon,
-73.9689657039917,40.7767834276767,0,Cinnamon,
-73.9635658786416,40.7777291777901,0,Cinnamon,
-73.9752000129992,40.7732918122239,0,Cinnamon,
-73.9698817079185,40.7758322627711,0,Cinnamon,
-73.9757001944781,40.769499790547,2,Cinnamon,went up tree
-73.968045072743,40.7836626717225,4,Cinnamon,
-73.9802376131034,40.7680707516627,0,Cinnamon,
-73.9690416961886,40.7716618670996,0,Cinnamon,
-73.9763433202401,40.7738473490681,12,Cinnamon,
-73.9786603147149,40.7671937837017,0,Cinnamon,
-73.9785675798034,40.7672992405289,0,Cinnamon,
-73.9756754297747,40.7738518843446,0,Cinnamon,
-73.9756557086441,40.773296289824,0,Cinnamon,
-73.9757787135906,40.7737231427345,0,Cinnamon,
-73.9752793195744,40.7733960128931,0,Cinnamon,
-73.9648195433192,40.7796399955868,0,Cinnamon,
-73.9664450399121,40.7887844904695,0,Cinnamon,
-73.9581243021722,40.794431473386,0,Cinnamon,
-73.9701481200298,40.7751110354034,0,Cinnamon,
-73.9677423154682,40.7728813350245,0,Cinnamon,
-73.978426472499,40.771904101844,0,Cinnamon,
-73.9776854797916,40.7683102295663,0,Cinnamon,
-73.9801007327506,40.7677455633932,0,Cinnamon,
-73.9649611089685,40.7814371834837,2,Cinnamon,
-73.9714289592392,40.7750670702093,10,Cinnamon,
-73.9768357173861,40.7683813358343,0,Cinnamon,
-73.952526164386,40.7963759240504,18,Cinnamon,
-73.9650499507011,40.7908191782173,10,Cinnamon,
-73.9756810453606,40.7756257458036,0,Cinnamon,
-73.9625416200877,40.7811302397912,1,Cinnamon,
-73.9792153893146,40.7688272492961,0,Cinnamon,
-73.9646597452128,40.7827698220703,3,Cinnamon,
-73.9785133301426,40.7718260288338,0,Cinnamon,
-73.9808202088503,40.7682921842325,6,Cinnamon,
-73.9540908513075,40.794201225045,0,Cinnamon,
-73.9655905300923,40.7752614638023,2,Cinnamon,
-73.9764235373322,40.770606513989,0,Cinnamon,
-73.9757536187319,40.7755119810678,0,Cinnamon,
-73.9785536529136,40.7716184505002,0,Cinnamon,elevated ground
-73.9801661903932,40.7697950141751,0,Cinnamon,
-73.9638298997554,40.7825966332367,0,Cinnamon,
-73.9624538733037,40.7883829851518,10,Cinnamon,
-73.9799155966086,40.7698034314993,0,Cinnamon,
-73.9691057326088,40.7765973509721,0,Cinnamon,
-73.9658181813014,40.7798160637561,0,Cinnamon,
-73.9685080639873,40.7745309794155,20,Cinnamon,maple tree
-73.9504693544225,40.797225436004,0,Cinnamon,
-73.9772026572674,40.7691598773017,0,Cinnamon,
-73.9654397484763,40.7798863522904,0,Cinnamon,
-73.9671640520938,40.7772236833816,0,Cinnamon,
-73.9756603846107,40.7672531319384,0,Cinnamon,
-73.9675472064204,40.7835947167436,10,Cinnamon,on tree
-73.9687476703117,40.7742856696093,2,Cinnamon,
-73.9675023138703,40.7872554700995,40,Cinnamon,tree
-73.9529413156461,40.7920963446605,0,Cinnamon,
-73.9682144039334,40.7773070675393,0,Cinnamon,
-73.9706851546184,40.7780777016038,2,Cinnamon,on fence
-73.9758959798289,40.7694125671679,0,Cinnamon,
-73.9642379942652,40.7774792520738,15,Cinnamon,
-73.9642288873015,40.7820439983567,0,Cinnamon,
-73.9609704650925,40.7938786854735,15,Cinnamon,
-73.9764016030666,40.7689894344251,0,Cinnamon,
-73.9768311751004,40.7667178072558,4,Cinnamon,
-73.9799311173259,40.7685576997559,0,Cinnamon,
-73.9675198230918,40.778631094685,4,Cinnamon,
-73.9734687538064,40.7694308959222,0,Cinnamon,
-73.9757216124349,40.7754310239649,0,Cinnamon,
-73.9763116425885,40.7688839576487,0,Cinnamon,
-73.967042958599,40.7784370719371,0,Cinnamon,
-73.9785948413883,40.7718908026758,0,Cinnamon,
-73.9706323458769,40.7713196034265,0,Cinnamon,
-73.9761447791484,40.7690147873986,0,Cinnamon,
-73.9654093844049,40.7806896368469,0,Cinnamon,
-73.9658443548822,40.7796704898979,0,Cinnamon,
-73.9623922773932,40.7814944428327,0,Cinnamon,
-73.9683994064731,40.7710765500799,0,Cinnamon,
-73.9689781843873,40.7709333833783,0,Cinnamon,
-73.978392591149,40.7668993398193,0,Cinnamon,
-73.9676424599715,40.7777766106807,0,Cinnamon,near fence
-73.9649827807341,40.7817322832767,0,Cinnamon,
-73.9790896775237,40.7688048644871,0,Cinnamon,
-73.9801985977846,40.7680159511705,0,Cinnamon,
-73.9645547556826,40.776877007081,9,Cinnamon,tree hollow
-73.9686296217893,40.771812308875,6,Cinnamon,
-73.9552035011902,40.7889851896334,3,Cinnamon,In and below shrub
-73.9553163829551,40.7988610926249,0,Cinnamon,
-73.9563311167069,40.7950901563337,0,Cinnamon,running on rocks
-73.9593374341938,40.797258337802,0,Cinnamon,
-73.9562642076935,40.7983338763074,0,Cinnamon,
-73.9811078442462,40.767515940567,0,Cinnamon,
-73.9695305996721,40.7745386896959,0,Cinnamon,
-73.9640534906634,40.7777383899836,0,Cinnamon,
-73.9541837143178,40.7944340477396,0,Cinnamon,
-73.9680855277775,40.7769251965381,20,Cinnamon,
-73.9770985425092,40.7665926744505,0,Cinnamon,
-73.9604954276129,40.7965682182001,0,Cinnamon,
-73.9541500874008,40.7920329989756,10,Cinnamon,Sitting on tree limb
-73.9693465383617,40.7744996336934,0,Cinnamon,
-73.9645060433292,40.7768322057794,0,Cinnamon,
-73.9776445567926,40.768119107973,0,Cinnamon,
-73.9744906832678,40.7699948746776,0,Cinnamon,
-73.9798390387307,40.7700761090896,0,Cinnamon,
